Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,Log_TotalIncome,Log_LoanAmount,Normalized_TotalIncome,Normalized_LoanAmount,Income_Per_LoanAmount,Credit_Income_Ratio,ApplicantDependencyRatio,LoanAmount_To_IncomeRatio
1,1,0,0,0,360.0,1.0,1,1,5167.0,8.550241045462437,4.74493212836325,-0.2891956026224695,-0.3652889038613612,899.4014001471058,0.0001934984520123,0.0,0.4968389913695098
1,0,0,0,0,360.0,1.0,2,0,3167.0,8.060855752934316,4.31748811353631,-0.5712327337322961,-0.8060421553281569,595.581961328323,0.0003156565656565,0.0,0.476498934677126
1,1,0,1,0,360.0,1.0,2,0,6033.0,8.705165419719007,5.081404364984463,-0.1670735248519145,0.1415773353254538,992.0405942312987,0.0001657275439177,0.0,0.5235773060251028
0,0,0,1,1,360.0,1.0,1,1,12893.0,9.756378687497916,5.420534999272286,1.416564966329762,0.8578013689589968,2008.088111265076,7.755545214828603e-05,0.0,0.5039367947850838
0,0,0,0,1,360.0,1.0,2,1,3463.0,8.150179269682326,4.812184355372417,-0.5294912383280418,-0.2771382535680021,595.8173017686579,0.0002886836027713,0.0,0.5259114836489411
0,0,0,0,0,360.0,1.0,0,1,5428.0,8.599510233905452,4.912654885736052,-0.2523897570126371,-0.1338934468412934,918.0309192567191,0.0001841959845275,0.0,0.5117609925957018
1,1,0,0,0,360.0,1.0,0,1,5491.0,8.61104776688786,4.941642422609304,-0.2435055873826775,-0.0898181216946139,924.1552435241632,0.0001820830298616,0.0,0.5141627159147342
1,1,3,1,0,480.0,1.0,1,1,2825.0,7.946617563244473,4.553876891600541,-0.6194610831520765,-0.585665529594759,508.6536945520733,0.0003538570417551,0.0010615711252653928,0.5090054268452586
1,1,1,0,1,360.0,1.0,2,0,4022.0,8.299783171949787,4.709530201312334,-0.4506618601828452,-0.4093642290080408,704.4362422455607,0.0002485707183693,0.00024857071836937607,0.5064129038532128
1,1,0,0,0,360.0,1.0,2,1,12893.0,10.221977646629885,6.175867270105761,2.860172021915409,3.66760334705982,1796.7166217958736,7.755545214828603e-05,0.0,0.5503368002127913
0,1,2,0,0,360.0,1.0,2,0,3259.0,8.089482474360754,5.123963979403259,-0.5582590257012441,0.218709154332143,532.1716474755569,0.0003067484662576,0.0006134969325153375,0.563724501791684
0,1,0,0,0,360.0,1.0,2,0,6784.0,8.82246957226897,4.709530201312334,-0.0611685821201746,-0.4093642290080408,1188.18882829286,0.000147383935151,0.0,0.4794649824732867
1,1,1,1,0,360.0,1.0,2,1,4763.0,8.46884293047519,4.859812404361672,-0.3461671031066545,-0.2110252658479827,812.8246556928556,0.0002099076406381,0.00020990764063811922,0.5132424774647502
1,1,2,0,0,360.0,0.0,1,0,4745.0,8.465057436995709,4.890349128221754,-0.3487054372866429,-0.1669499407013031,805.5549674069108,0.0,0.00042140750105351877,0.5166740044394271
1,1,0,0,1,360.0,1.0,2,1,3000.0,8.006700845440367,4.204692619390966,-0.5947828341799666,-0.894192805621516,576.4029154811162,0.0003332222592469,0.0,0.46684048815938933
1,0,0,0,0,360.0,1.0,1,1,8649.0,9.065314599925925,5.0238805208462765,0.2018310426397386,0.0424078537454247,1435.7854492746362,0.0001156069364161,0.0,0.4991280174077469
1,0,0,1,0,180.0,1.0,2,1,2717.0,7.907651594711089,4.110873864173311,-0.6346910882320072,-0.9603057933415354,531.6116328062574,0.0003679175864606,0.0,0.46149917522752454
1,1,1,0,0,360.0,1.0,2,1,10333.0,9.24319470884713,5.802118375377063,0.4393063070342126,2.014778654059336,1519.0855891900308,9.676795045480936e-05,9.676795045480937e-05,0.5664364039048996
1,0,0,0,0,360.0,1.0,2,1,2479.0,7.8160138391590275,4.0943445622221,-0.6682535068340765,-0.9713246246282052,486.61804668325885,0.0004032258064516,0.0,0.46442129480738953
1,1,0,0,0,360.0,1.0,0,1,6525.0,8.783549477153265,5.37989735354046,-0.0976923905988972,0.7586318873789678,1022.7437274330154,0.0001532332209623,0.0,0.5498921803486251
1,1,2,0,1,360.0,1.0,2,1,9613.0,9.170975648453906,5.5909869805108565,0.337772939834675,1.3205922829991323,1458.506901686356,0.0001040149781568,0.00020802995631370917,0.5497001638540688
0,1,1,0,1,360.0,0.0,2,0,11500.0,9.35018926709258,5.659482215759621,0.6038749730367965,1.5299500774458603,1726.860982192478,0.0,8.694896095991653e-05,0.5467998767668332
